IDClient,NomClient,PrenomClient,AdresseClient
1,Arnol,Maxence,17 Rue Arnol
2,Boogaerts,Paul,28 Rue Boogaerts
3,Caron,Alexis,13 Rue Caron
4,Descamps,Anthony,6 Rue Descamps
5,Fritsch,Florian,16 Rue Fritsch
6,Geeraert,Pierre,8 Rue Geeraert
7,Hollebecq,Maxime,1 Rue Hollebecq
8,Hoyez,Alexis,26 Rue Hoyez
9,Klein,Aurélien,12 Rue Klein
10,Kruger,Maxence,19 Rue Kruger
11,Lecomte,Alexandre,2 Rue Lecomte
12,Leleux,Charles,15 Rue Leleux
13,Lhomme,Jean-Francois,7 Rue Lhomme
14,Libessart,Dimitri,20 Rue Libessart
15,Naessens,Valentin,10 Rue Naessens
16,Podevin,Jean-Clément,3 Rue Podevin
17,Poly,Thibault,4 Rue Poly
18,Rigaut,Arnaud,23 Rue Rigaut
19,Vancamp,Rémy,5 Rue Vancamp
20,Panoramix,Panoramix,12 rue du cif
21,Gandalf,Gandalf,15 rue du moulin
22,Merlin,Enchanteur,56 boulevard arthur
23,Severus,Rogue,Cabane
